Item Type,Sales Channel,Order Priority,Order Priority,Order ID,Ship Date
Cosmetics,Offline,M,M,686800706,10/31/14
Vegetables,Online,M,M,185941302,12/8/11
Baby Food,Offline,C,C,246222341,12/9/16
Cereal,Offline,C,C,161442649,5/12/10
Fruits,Offline,H,H,645713555,8/31/11
Cereal,Online,H,H,683458888,12/28/14
Cereal,Online,H,H,679414975,4/17/15
Clothes,Offline,M,M,208630645,6/28/12
Vegetables,Online,H,H,266467225,3/7/15
Vegetables,Offline,H,H,118598544,1/19/14
Clothes,Online,M,M,451010930,1/19/16
Snacks,Offline,M,M,220003211,3/18/10
Household,Online,C,C,702186715,12/22/16
Cosmetics,Online,C,C,544485270,1/5/16
Fruits,Offline,L,L,714135205,2/6/11
Clothes,Offline,H,H,448685348,7/22/10
Office Supplies,Online,H,H,405997025,5/12/16
Beverages,Online,M,M,414244067,8/7/12
Clothes,Online,C,C,821912801,10/3/14
Household,Offline,L,L,247802054,9/8/12
Snacks,Online,C,C,531023156,10/15/12
Clothes,Online,L,L,880999934,9/16/10
Personal Care,Online,H,H,127468717,3/9/11
Clothes,Online,L,L,770478332,1/24/16
Cereal,Online,H,H,430390107,11/13/12
Beverages,Online,M,M,397877871,3/20/17
Beverages,Offline,M,M,683927953,11/4/14
Fruits,Offline,M,M,469839179,2/22/12
Meat,Offline,H,H,357222878,3/9/16
Personal Care,Online,C,C,118002879,1/7/16
Beverages,Offline,C,C,944415509,6/23/17
Office Supplies,Online,H,H,499009597,7/9/15
Fruits,Online,L,L,564646470,3/16/14
Baby Food,Offline,M,M,294499957,4/8/14
Beverages,Offline,L,L,262056386,10/24/10
Office Supplies,Online,M,M,211114585,5/14/10
Office Supplies,Offline,H,H,405785882,10/22/13
Vegetables,Offline,M,M,280494105,4/14/11
Baby Food,Online,L,L,689975583,8/12/16
Office Supplies,Online,L,L,759279143,2/18/11
Office Supplies,Offline,C,C,133766114,6/12/14
Beverages,Online,M,M,329110324,9/2/13
Meat,Online,L,L,681298100,11/20/11
Snacks,Offline,L,L,596628272,12/30/16
Office Supplies,Offline,L,L,901712167,4/17/15
Beverages,Online,M,M,693473613,4/21/13
Meat,Online,C,C,489148938,9/1/10
Household,Online,L,L,876286971,2/15/12
Personal Care,Offline,H,H,262749040,8/30/15
Meat,Online,H,H,726708972,1/26/17
Vegetables,Online,L,L,366653096,5/31/12
Vegetables,Online,M,M,951380240,12/20/10
Cosmetics,Online,M,M,270001733,1/1/15
Beverages,Online,C,C,681941401,7/28/16
Fruits,Online,L,L,566935575,6/7/16
Snacks,Offline,M,M,175033080,11/5/12
Office Supplies,Offline,L,L,276595246,3/15/12
Office Supplies,Online,M,M,812295901,2/13/11
Vegetables,Offline,C,C,443121373,6/19/14
Personal Care,Offline,H,H,600370490,1/25/17
Office Supplies,Online,L,L,535654580,7/29/14
Cosmetics,Offline,H,H,470897471,4/22/15
Beverages,Offline,L,L,248335492,4/4/13
Clothes,Offline,C,C,680517470,3/25/15
Personal Care,Online,M,M,400304734,7/29/13
Office Supplies,Offline,C,C,810871112,1/8/13
Cereal,Online,L,L,235702931,4/3/12
Office Supplies,Offline,C,C,668599021,5/12/14
Baby Food,Online,M,M,123670709,2/1/16
Office Supplies,Online,L,L,285341823,6/8/11
Fruits,Online,H,H,658348691,8/22/10
Baby Food,Offline,L,L,817740142,8/19/13
Beverages,Offline,H,H,858877503,11/6/13
Vegetables,Offline,M,M,947434604,2/19/17
Meat,Offline,H,H,869397771,4/17/15
Personal Care,Offline,L,L,481065833,5/8/12
Meat,Online,C,C,159050118,10/1/13
Office Supplies,Online,M,M,350274455,6/14/14
Cereal,Online,L,L,221975171,5/17/10
Office Supplies,Online,C,C,811701095,7/19/17
Cereal,Online,L,L,977313554,3/29/15
Snacks,Offline,L,L,546986377,2/10/10
Fruits,Offline,L,L,769205892,3/17/10
Clothes,Offline,M,M,262770926,2/8/13
Snacks,Online,M,M,866792809,3/18/17
Beverages,Offline,C,C,890695369,2/23/11
Cereal,Offline,M,M,964214932,3/31/14
Snacks,Online,C,C,887400329,8/17/13
Beverages,Offline,M,M,980612885,9/4/11
Clothes,Offline,M,M,734526431,8/2/16
Baby Food,Online,L,L,160127294,3/23/14
Clothes,Offline,L,L,238714301,9/13/10
Household,Online,M,M,671898782,2/6/13
Personal Care,Offline,H,H,331604564,11/17/10
Cereal,Online,M,M,410067975,11/20/16
Snacks,Offline,L,L,369837844,3/23/11
Fruits,Online,L,L,193775498,1/31/13
Clothes,Online,M,M,835054767,10/9/15
Household,Offline,C,C,167161977,12/24/13
Vegetables,Offline,C,C,633895957,8/22/14
Clothes,Offline,C,C,699368035,12/7/10
Vegetables,Offline,L,L,698002040,7/29/15
Snacks,Offline,H,H,584534299,5/18/12
Vegetables,Online,L,L,384013640,7/19/12
Personal Care,Online,M,M,641801393,5/24/13
Personal Care,Online,M,M,173571383,1/11/17
Snacks,Offline,H,H,115309941,4/6/11
Cosmetics,Offline,L,L,773315894,11/4/11
Beverages,Online,M,M,274200570,6/26/12
Clothes,Offline,M,M,414887797,11/17/11
Beverages,Offline,L,L,812613904,1/29/10
Baby Food,Online,H,H,254927718,9/7/11
Beverages,Offline,M,M,749690568,10/26/14
Cereal,Offline,C,C,775076282,9/19/14
Office Supplies,Online,H,H,229571187,9/18/15
Baby Food,Online,C,C,881974112,7/11/11
Snacks,Online,L,L,521396386,2/14/12
Household,Online,C,C,607261836,2/22/17
Vegetables,Online,M,M,419306790,3/12/12
Meat,Offline,H,H,207580077,7/18/10
Snacks,Online,M,M,742443025,4/15/11
Snacks,Offline,M,M,164569461,10/5/10
Baby Food,Online,L,L,734945714,2/12/14
Clothes,Offline,C,C,284870612,10/7/15
Fruits,Offline,M,M,765955483,10/7/11
Snacks,Offline,H,H,600124156,4/21/10
Household,Offline,L,L,529612958,12/11/12
Clothes,Offline,H,H,466970717,3/18/11
Cosmetics,Online,C,C,845058763,9/22/12
Snacks,Offline,L,L,367050921,8/31/14
Office Supplies,Online,L,L,956433522,9/12/15
Beverages,Online,C,C,107005393,5/4/11
Beverages,Offline,C,C,332877862,5/7/13
Baby Food,Online,L,L,618474757,12/31/15
Household,Online,M,M,468532407,2/11/14
Office Supplies,Offline,M,M,358099639,4/29/15
Household,Online,H,H,382537782,1/27/13
Personal Care,Offline,H,H,707520663,3/15/13
Meat,Online,M,M,219034612,12/10/14
Meat,Offline,M,M,573378455,1/17/15
Personal Care,Online,H,H,347163522,3/22/11
Snacks,Offline,M,M,887313640,4/21/13
Cosmetics,Online,H,H,461065137,8/19/17
Fruits,Offline,H,H,105966842,5/19/17
Baby Food,Online,M,M,479880082,5/23/14
Baby Food,Online,H,H,510978686,9/30/15
Snacks,Offline,C,C,547748982,10/14/13
Cereal,Offline,M,M,108989799,12/9/13
Cereal,Offline,M,M,133812463,8/9/14
Fruits,Offline,L,L,731640803,12/30/11
Snacks,Offline,C,C,732211148,4/14/10
Cereal,Online,M,M,835572326,8/8/11
Baby Food,Offline,C,C,462085664,1/15/11
Clothes,Online,C,C,902424991,7/4/16
Fruits,Offline,H,H,367576634,1/5/14
Meat,Offline,H,H,738839423,3/31/17
Baby Food,Online,C,C,817824685,7/27/10
Snacks,Online,C,C,376456248,8/1/13
Office Supplies,Online,H,H,606970441,9/16/16
Meat,Offline,L,L,971916091,1/19/15
Office Supplies,Offline,L,L,554154527,5/15/12
Household,Online,L,L,306859576,7/19/17
Personal Care,Offline,L,L,803517568,7/21/17
Office Supplies,Online,C,C,887927329,10/2/11
Vegetables,Online,H,H,824200189,11/26/15
Office Supplies,Online,H,H,946759974,9/14/12
Clothes,Offline,H,H,310343015,12/28/15
Vegetables,Online,C,C,739998137,7/9/14
Beverages,Online,H,H,981086671,11/21/12
Office Supplies,Offline,L,L,749282443,3/25/13
Office Supplies,Online,C,C,280571782,3/11/11
Household,Online,C,C,781253516,9/1/14
Personal Care,Online,H,H,377938973,7/11/17
Clothes,Offline,C,C,867551982,1/3/11
Personal Care,Offline,C,C,967328870,1/15/10
Office Supplies,Offline,C,C,364818465,10/16/11
Office Supplies,Online,C,C,167882096,3/31/14
Clothes,Online,H,H,654693591,12/1/12
Personal Care,Offline,H,H,823739278,12/29/11
Beverages,Offline,L,L,643817985,8/19/12
Personal Care,Offline,H,H,604041039,5/15/17
Personal Care,Online,H,H,363832271,9/12/10
Personal Care,Online,L,L,102928006,1/31/16
Office Supplies,Offline,M,M,971377074,5/15/16
Meat,Online,L,L,139540803,12/4/10
Meat,Offline,M,M,248093020,12/16/10
Snacks,Offline,L,L,858020055,1/17/14
Baby Food,Offline,H,H,700620734,1/5/15
Cosmetics,Offline,L,L,827506387,1/30/17
Household,Online,M,M,560600841,4/14/13
Personal Care,Offline,H,H,642140424,1/16/13
Baby Food,Offline,C,C,984673964,3/5/15
Beverages,Online,L,L,221062791,4/18/12
Vegetables,Offline,L,L,654480731,11/8/16
Beverages,Offline,C,C,608414113,12/23/11
Household,Online,L,L,276661765,4/20/16
Baby Food,Online,L,L,373335015,2/28/11
Clothes,Online,L,L,782857692,5/28/13
Fruits,Online,H,H,109966123,6/5/10
Cereal,Offline,M,M,629709136,6/6/17
Personal Care,Online,L,L,637448060,9/15/12
Baby Food,Online,H,H,298856723,4/3/17
Household,Offline,L,L,299921452,2/23/15
Personal Care,Offline,M,M,496941077,7/29/10
Snacks,Online,L,L,366526925,7/14/16
Meat,Offline,M,M,355602824,9/15/12
Vegetables,Online,C,C,531405103,4/19/10
Vegetables,Offline,M,M,131482589,1/20/10
Cereal,Online,L,L,713696610,3/28/14
Vegetables,Online,C,C,306220996,1/30/14
Household,Offline,L,L,157542073,3/15/10
Personal Care,Online,L,L,686458671,3/8/15
Office Supplies,Online,M,M,132082116,7/22/12
Clothes,Online,L,L,403836238,4/3/13
Household,Online,C,C,331457364,4/23/14
Meat,Online,H,H,614994323,9/12/17
Fruits,Offline,L,L,674808442,10/24/10
Baby Food,Offline,L,L,901573550,12/23/16
Clothes,Online,L,L,406275975,5/10/14
Vegetables,Online,C,C,170214545,8/19/16
Personal Care,Offline,C,C,795000588,1/8/16
Fruits,Offline,C,C,252557933,11/4/16
Baby Food,Offline,M,M,635122907,12/13/16
Vegetables,Online,C,C,505244338,9/19/11
Clothes,Offline,H,H,745783555,5/9/12
Snacks,Offline,M,M,509914386,6/11/12
Household,Online,M,M,371123158,2/9/14
Household,Online,H,H,973208701,12/28/16
Baby Food,Online,L,L,780282342,12/27/13
Clothes,Online,H,H,126767909,5/22/10
Baby Food,Online,M,M,767401731,7/30/12
Personal Care,Online,L,L,927232635,11/24/16
Meat,Offline,M,M,251621949,10/20/12
Office Supplies,Offline,H,H,256243503,7/23/17
Cosmetics,Offline,C,C,277083623,9/2/11
Vegetables,Offline,L,L,620441138,6/22/10
Office Supplies,Offline,M,M,312927377,9/7/15
Baby Food,Offline,L,L,251466166,9/8/10
Office Supplies,Online,H,H,953293836,7/22/10
Cereal,Online,C,C,305959212,4/23/12
Cereal,Online,L,L,317323625,3/24/14
Household,Offline,L,L,365560901,9/1/11
Baby Food,Online,M,M,349157369,4/5/16
Baby Food,Online,L,L,236911857,2/25/14
Personal Care,Offline,H,H,517935693,6/16/15
Clothes,Offline,C,C,851652705,3/27/12
Cereal,Offline,M,M,517799222,10/23/12
Office Supplies,Offline,C,C,666424071,3/4/15
Fruits,Offline,C,C,267888581,12/22/10
Vegetables,Online,L,L,162866580,7/26/11
Beverages,Offline,H,H,812344396,8/30/14
Meat,Online,M,M,947620856,9/3/14
Vegetables,Online,H,H,720307290,3/28/15
Household,Online,H,H,352327525,10/27/16
Household,Online,C,C,585917890,7/23/13
Meat,Offline,L,L,433627212,2/13/12
Beverages,Online,C,C,328316819,5/30/12
Cereal,Offline,C,C,773160541,11/21/11
Household,Online,M,M,991644704,5/18/16
Meat,Online,M,M,277568137,2/7/14
Fruits,Online,C,C,245042169,12/15/16
Household,Online,M,M,778490626,3/24/11
Baby Food,Online,C,C,482649838,11/13/14
Beverages,Online,L,L,732568633,7/5/12
Household,Online,M,M,723608338,11/23/12
Household,Offline,H,H,621442782,4/14/14
Baby Food,Offline,M,M,212058293,10/6/15
Snacks,Offline,L,L,251753699,3/24/14
Fruits,Online,M,M,217140328,10/30/14
Vegetables,Online,C,C,555142009,7/10/12
Clothes,Online,C,C,432995069,12/13/10
Personal Care,Offline,H,H,888248336,11/7/10
Vegetables,Online,C,C,778763139,5/9/14
Snacks,Offline,H,H,832713305,2/9/13
Household,Offline,M,M,498585164,9/29/14
Fruits,Offline,M,M,195177543,12/23/16
Cereal,Online,C,C,861601769,12/2/10
Meat,Online,H,H,807281672,1/26/15
Clothes,Offline,H,H,661953580,4/24/11
Cosmetics,Online,M,M,225666320,8/21/16
Household,Offline,L,L,718781220,2/19/11
Office Supplies,Online,L,L,731972110,4/15/10
Vegetables,Online,C,C,276225316,2/9/15
Office Supplies,Offline,C,C,332839667,7/27/16
Vegetables,Online,C,C,603426492,6/15/14
Beverages,Offline,H,H,859909617,1/29/13
Household,Online,L,L,494525372,3/2/10
Vegetables,Online,M,M,769822585,5/15/16
Vegetables,Offline,C,C,768662583,8/10/12
Cereal,Online,M,M,544219195,3/9/15
Beverages,Offline,L,L,669978749,3/20/11
Cosmetics,Offline,L,L,889740073,1/26/15
Beverages,Online,M,M,567614495,6/28/12
Vegetables,Offline,M,M,938025844,1/21/16
Vegetables,Online,C,C,155710446,2/25/17
Baby Food,Online,L,L,945717132,2/13/12
Cosmetics,Offline,C,C,253407227,2/15/13
Household,Offline,H,H,494454562,9/22/14
Cereal,Online,M,M,104845464,7/24/12
Cosmetics,Online,M,M,290878760,4/7/14
Office Supplies,Offline,C,C,979165780,2/10/14
Office Supplies,Offline,C,C,366630351,10/12/10
Office Supplies,Online,C,C,770508801,6/25/11
Beverages,Offline,M,M,978349959,5/21/13
Beverages,Offline,L,L,298015153,8/14/14
Snacks,Online,M,M,807678210,10/30/10
Personal Care,Offline,C,C,605825459,5/14/13
Fruits,Online,C,C,561255729,2/1/16
Clothes,Online,H,H,263080346,12/14/13
Cereal,Offline,C,C,270723140,3/9/14
Clothes,Offline,H,H,763920438,7/10/17
Household,Online,L,L,192721068,5/20/14
Fruits,Offline,L,L,227486360,6/8/11
Vegetables,Online,M,M,808890140,9/22/12
Cosmetics,Offline,C,C,597918736,9/11/15
Cosmetics,Online,H,H,125870978,11/20/14
Household,Online,H,H,444358193,10/21/13
Beverages,Online,C,C,875304210,3/12/13
Baby Food,Offline,C,C,360945355,8/16/14
Cereal,Offline,C,C,613830459,1/16/17
Cereal,Offline,H,H,266820847,12/10/12
Baby Food,Offline,M,M,723090350,11/27/14
Meat,Offline,M,M,306125295,8/15/13
Personal Care,Online,L,L,109724509,6/16/12
Clothes,Offline,M,M,847999322,8/6/15
Clothes,Online,H,H,605373561,3/2/17
Beverages,Online,H,H,686583554,2/22/12
Beverages,Offline,M,M,666678130,9/21/15
Baby Food,Online,M,M,641018617,6/30/13
Meat,Online,C,C,775278842,9/22/11
Meat,Offline,M,M,855445134,12/6/16
Vegetables,Online,H,H,737816321,9/21/10
Beverages,Online,L,L,799003732,7/14/13
Vegetables,Online,L,L,585931193,11/21/12
Vegetables,Online,M,M,165835034,1/5/12
Baby Food,Offline,H,H,576264083,3/14/12
Clothes,Offline,L,L,675079667,1/7/15
Personal Care,Online,L,L,290455615,5/28/12
Snacks,Offline,L,L,670878255,2/15/12
Cereal,Online,M,M,435146415,8/12/11
Snacks,Online,C,C,522371423,4/8/17
Office Supplies,Online,L,L,141977107,4/18/17
Baby Food,Offline,L,L,823699796,4/19/16
Beverages,Offline,L,L,567588317,12/26/15
Fruits,Offline,H,H,594003999,11/16/11
Baby Food,Offline,H,H,393620669,8/2/11
Cosmetics,Offline,H,H,877424657,4/10/16
Household,Offline,M,M,326714789,1/21/17
Fruits,Offline,M,M,243102395,4/18/13
Household,Offline,L,L,398511302,4/20/17
Personal Care,Offline,M,M,185177838,7/4/11
Personal Care,Offline,H,H,865650832,12/31/13
Cereal,Offline,C,C,622791612,5/31/13
Personal Care,Online,L,L,409774005,11/27/10
Office Supplies,Online,H,H,800084340,4/21/16
Snacks,Offline,M,M,637521445,9/12/13
Beverages,Online,L,L,186196649,5/28/11
Baby Food,Offline,L,L,680533778,7/25/14
Beverages,Online,L,L,275269162,9/15/14
Household,Online,C,C,795451629,6/19/15
Cereal,Offline,M,M,986442506,1/1/14
Cereal,Offline,M,M,563915622,6/10/12
Cosmetics,Offline,C,C,663857305,11/13/13
Fruits,Online,L,L,692566382,1/14/11
Household,Offline,L,L,576654183,2/3/13
Baby Food,Offline,H,H,313044536,4/14/11
Personal Care,Offline,C,C,418973767,10/27/12
Beverages,Online,C,C,581990706,11/15/14
Baby Food,Online,H,H,109956681,7/24/15
Cereal,Online,L,L,181045520,5/27/10
Vegetables,Online,C,C,693743550,1/9/11
Clothes,Offline,L,L,716849601,12/31/10
Cosmetics,Online,L,L,739474999,1/1/13
Personal Care,Online,M,M,421043574,9/7/16
Personal Care,Online,M,M,841291654,3/20/15
Cereal,Offline,L,L,450268065,1/4/14
Meat,Online,L,L,918334138,6/12/12
Meat,Offline,M,M,386163699,4/19/14
Personal Care,Offline,C,C,214743077,2/18/17
Baby Food,Online,M,M,935371100,7/6/15
Cosmetics,Offline,H,H,899659097,12/3/12
Vegetables,Online,H,H,329530894,2/13/10
Meat,Online,H,H,867222821,2/6/16
Beverages,Online,M,M,625283706,10/23/14
Office Supplies,Offline,C,C,936574876,1/9/14
Cereal,Offline,M,M,504270160,11/25/10
Personal Care,Offline,M,M,351855885,6/2/11
Snacks,Online,H,H,673130881,3/23/11
Office Supplies,Offline,H,H,382206475,10/13/14
Cereal,Online,H,H,263506495,12/14/15
Cereal,Offline,L,L,721767270,7/18/17
Cosmetics,Online,M,M,432037627,8/18/11
Meat,Offline,C,C,389678895,8/24/14
Meat,Online,L,L,760364902,2/24/17
Fruits,Offline,C,C,430081975,12/9/10
Baby Food,Online,H,H,155128943,5/5/15
Clothes,Offline,H,H,312117135,10/16/12
Meat,Offline,L,L,447970378,9/2/13
Cosmetics,Offline,C,C,629925000,8/18/13
Personal Care,Offline,L,L,995529830,12/17/13
Office Supplies,Online,L,L,402646195,3/28/16
Meat,Offline,M,M,479447925,4/4/12
Cosmetics,Offline,H,H,674421346,6/29/17
Cosmetics,Online,L,L,506365287,5/16/14
Clothes,Online,C,C,914391076,8/4/16
Meat,Online,L,L,207922542,7/1/12
Office Supplies,Offline,M,M,816696012,2/16/14
Beverages,Offline,L,L,740760314,11/21/15
Baby Food,Online,C,C,300476777,2/28/13
Snacks,Online,L,L,786519229,6/7/13
Cosmetics,Offline,C,C,409873998,6/3/10
Cosmetics,Offline,H,H,151839911,5/22/10
Vegetables,Online,H,H,614028298,9/9/12
Household,Offline,L,L,668362987,5/13/14
Household,Online,M,M,607080304,4/5/13
Baby Food,Online,M,M,792729079,1/17/12
Baby Food,Offline,M,M,308170640,10/10/14
Vegetables,Online,H,H,106578814,10/2/14
Cereal,Online,H,H,761439931,3/28/14
Household,Online,L,L,216552817,9/27/12
Fruits,Online,H,H,536028802,9/22/10
Beverages,Online,L,L,254291713,8/15/13
Personal Care,Online,C,C,226077878,10/23/12
Office Supplies,Offline,M,M,476436126,10/15/11
Cosmetics,Offline,L,L,650727784,6/6/15
Household,Offline,C,C,464626681,7/27/10
Meat,Offline,C,C,154119145,9/21/15
Meat,Online,M,M,925504004,12/6/15
Cereal,Offline,L,L,905392587,8/16/12
Snacks,Online,C,C,990708720,5/4/12
Baby Food,Online,M,M,798688733,9/18/14
Cereal,Offline,C,C,916881453,11/28/16
Cosmetics,Offline,L,L,653148210,1/21/17
Personal Care,Offline,C,C,285662829,7/13/10
Vegetables,Online,C,C,612911641,8/31/16
Office Supplies,Offline,L,L,703693473,1/12/14
Clothes,Online,M,M,147119653,8/9/12
Fruits,Online,C,C,402614009,3/2/12
Personal Care,Online,C,C,749912869,4/25/13
Household,Online,H,H,539065062,3/10/14
Snacks,Offline,H,H,540431916,11/15/13
Beverages,Online,C,C,694687259,6/2/16
Cosmetics,Offline,H,H,562817418,6/2/11
Cereal,Online,L,L,676121222,9/9/16
Snacks,Offline,L,L,286210000,8/5/12
Beverages,Online,L,L,515007579,1/11/15
Cosmetics,Offline,C,C,304750287,6/1/10
Beverages,Online,H,H,467986953,2/17/13
Beverages,Offline,C,C,537578904,7/9/15
Vegetables,Offline,L,L,116699969,11/18/14
Snacks,Offline,C,C,228836476,3/13/17
Vegetables,Offline,C,C,167787253,7/16/10
Vegetables,Online,M,M,647663629,5/20/14
Meat,Offline,L,L,652889430,4/15/15
Office Supplies,Offline,M,M,588200986,10/15/15
Personal Care,Online,L,L,928647124,8/30/15
Cosmetics,Offline,L,L,869589173,3/17/16
Household,Online,C,C,576700961,7/23/15
Cereal,Offline,M,M,735968816,12/6/12
Snacks,Offline,M,M,303691565,10/19/12
Clothes,Offline,C,C,556480538,8/7/12
Beverages,Offline,H,H,141259562,11/11/14
Cosmetics,Offline,C,C,925264966,10/18/15
Office Supplies,Online,H,H,346045577,2/20/16
Fruits,Offline,H,H,861462724,4/19/10
Personal Care,Online,M,M,499690234,8/28/12
Clothes,Online,H,H,509214437,11/2/15
Office Supplies,Online,M,M,408834159,7/18/17
Beverages,Offline,M,M,237660729,4/30/16
Clothes,Online,C,C,105117976,9/9/15
Cereal,Offline,L,L,640942227,7/4/12
Cosmetics,Online,L,L,745182311,5/5/16
Baby Food,Offline,C,C,738199555,9/21/14
Snacks,Online,L,L,110667788,9/10/15
Office Supplies,Online,C,C,673573338,7/20/12
Snacks,Offline,H,H,708215034,9/13/11
Household,Online,M,M,816204202,7/1/12
Beverages,Offline,L,L,769464671,12/24/11
Beverages,Offline,L,L,860232770,6/4/15
Personal Care,Offline,C,C,551057326,8/22/10
Cosmetics,Online,C,C,724799668,5/27/16
Cosmetics,Offline,H,H,534633624,6/8/11
Beverages,Offline,H,H,554045522,9/20/12
Clothes,Online,C,C,526834189,5/2/12
Household,Online,C,C,717110955,8/9/10
Baby Food,Offline,L,L,559299647,3/26/13
Meat,Online,M,M,908136594,3/10/11
Office Supplies,Offline,M,M,888670623,12/16/15
Office Supplies,Offline,C,C,146263062,2/16/17
Office Supplies,Offline,L,L,196587741,10/28/16
Baby Food,Online,M,M,375630986,6/2/10
Beverages,Offline,H,H,989691627,7/10/13
Household,Offline,H,H,165380990,7/27/12
Snacks,Online,C,C,599622905,10/22/13
Personal Care,Offline,C,C,109653699,1/6/17
Meat,Offline,M,M,183022201,10/15/11
